elem_name	Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord
ISAT	iSAT	ACTIVE	43879	437.325	435.525	435.700	4k8 GMSK  Mobitex	DP2GOS	latest report	details	NO
Sparrow	D-STAR ONE SPARROW	ACTIVE	43881	437.325	435.525	435.700	4k8 GMSK  Mobitex/D-STAR	DP1GOS	latest report	details	NO
CubeBel 1	CubeBel-1	ACTIVE	43666	436.200	436.200	436.990	9k6 FSK  4k8 GMSK (Mobitex)	EU10S	latest report	details	YES
FMN 1	FMN-1	ACTIVE	43192	145.945	435.350	435.350	9k6 BPSK	FMN-1	latest report	details	YES
BEESAT-3	BEESAT-3	ACTIVE	39135	435.950	435.950	.	4k8 GMSK	DP0BEG	latest report	details	YES
AO-91	Radfxsat (AO-91, FOX-1B)	ACTIVE	43017	435.250	435.250	145.960	Voice + 0k2 FSK data, FM	.	latest report	details	YES
TechnoSat	TechnoSat	ACTIVE	42829	435.950	435.950	.	FM CW 4k8 GMSK	DP0TBA	latest report	details	YES
Falconsat-3	FalconSAT-3	ACTIVE	30776	145.840	435.103	435.103	9k6 FSK	PFS3-11	latest report	details	YES
BEESAT-4	BEESAT-4	ACTIVE	41619	435.950	435.950	.	4k8 GMSK	DP0BEH	latest report	 	YES
e-st@r-II	e-st@r-II	ACTIVE	41459	.	437.485	437.485	1k2 AFSK CW	ESTAR-2	latest report	details	YES
ChubuSat-2	ChubuSat-2	ACTIVE	41338	145.815	437.100	437.100	9k6 FSK, CW	JJ2YPN	latest report	details	YES
ChubuSat-3	ChubuSat-3	ACTIVE	41339	145.840	437.425	437.425	9k6 FSK, CW	JJ2YPO	latest report	details	YES
LILACSAT-2	LilacSat-2	ACTIVE	40908	144.350	437.200	437.225	9k6 RRC-BPSK 4k8 GFSK	BJ1SI	latest report	details	YES
FIREBIRD FU3	Firebird-II FU3	ACTIVE	40377	.	437.405	.	 	K7MSU	latest report	details	YES
IREBIRD FU4	Firebird-II FU4	ACTIVE	40378	.	437.230	.	19k2 FSK	K7MSU	latest report	details	YES
GRIFEX	GRIFEX	ACTIVE	40379	.	437.481	.	9k6 FSK	KD8SPS	latest report	details	YES
SPROUT	SPROUT	ACTIVE	39770	437.600	437.600	437.525	1k2 AFSK, CW, SSTV	JQ1ZJQ	latest report	details	YES
ISS	ISS	ACTIVE	25544	437.550	437.550	437.550	APRS	RS0ISS	latest report	details	.
SO-50	SO-50 (SaudiSat-1c)	ACTIVE	27607	145.850	436.795	.	FM_tone 67.0Hz		latest report	details	.
CO-55	CO-55 (CUTE-I)	ACTIVE	27844	.	437.470	436.838	1k2 AFSK	JQ1YCY	latest report	details	YES
CO-57	CO-57 (XI-IV)	ACTIVE	27848	.	437.490	436.848	1k2 AFSK,CW	JQ1YCW	latest report	details	YES
CO-58	CO-58 (XI-V)	ACTIVE	28895	.	437.345	437.465	1k2 AFSK,CW	JQ1YGW	latest report	details	YES
CO-65	CUTE1.7+APDII	ACTIVE	32785	1267.600	437.475	.	9k6 GMSK	JQ1YTC	latest report	details	YES
CO-65	CUTE1.7+APDII	ACTIVE	32785	.	437.475	437.275	1k2 AFSK,CW	JQ1YTC	latest report	details	YES
AAUSAT2	AAUSAT-II	ACTIVE	32788	.	437.432	437.432	1k2 FFSK/MSK	OZ2CUB	latest report	details	YES
CO-66	CO-66 (SEEDS-II)	ACTIVE	32791	.	437.485	437.485	1k2 FM, CW, Talker	JQ1YGU	latest report	details	YES
PRISM	PRISM (HITOMI)	ACTIVE	33493	.	437.425	437.250	AFSK, GMSK, CW	JQ1YCX	latest report	details	YES
SWISSCUBE	SwissCube-1	ACTIVE	35932	.	437.505	437.505	1k2 AFSK (LSB),CW	HB9EG/1	latest report	details	YES
BEESAT-1	BEESAT-1	ACTIVE	35933	.	436.000	436.000	9k6/4k8 GMSK	DP0BEE	latest report	details	YES
ITUPSAT 1	ITUpSat-1	ACTIVE	35935	.	437.325	437.325	19k2 GFSK,CW		latest report	details	YES
AENEAS	AENEAS	ACTIVE	38760	.	437.600	437.600	1k2 AFSK	KE6YFA-1	latest report	details	YES
STRAND 1	STRaND-1	ACTIVE	39090	.	437.568	437.568	9k6 FSK (non AX.25)		latest report	details	YES
BEESAT-2	BEESAT-2	ACTIVE	39136	.	435.950	435.950	4k8 GMSK	DP0BEF	latest report	details	YES
SOMP	SOMP	ACTIVE	39134	.	437.504	437.504	CW, 1k2 FSK	DP0TUD	latest report	details	YES
CUBEBUG 1	CubeBug-1	ACTIVE	39153	.	437.438	437.438	1k2 AFSK	CUBEB1	latest report	details	YES
FO-99 NEXUS	FO-99 (Nexus)		43937	145.920	435.900	435.900	CW, 9k6 FSK	JS1YAV			
TIGRISAT	tigrisat 		40043		435.000		9k6 FSK	HNATIG			
BUGSAT 1	BUGSAT 1		40014		437.445		9k6 GMSK	LU7AA			
1KUNS-PF	1KUNS-PF		43466		437.300		1k2/2k4/4k8/9k6 GMSK				